id;designation;first_name;last_name;email;phone_number
1;ACCOUNTANT;Emmanuel;Will;Mariane_Wiegand@hotmail.com;49302
2;OWNER;Ernest;Lueilwitz;Craig_Rolfson78@hotmail.com;78961
3;ACCOUNTANT;Webster;Beer;Katherine_Bednar@hotmail.com;88770
4;MANAGER;Marta;Rowe;Liam83@hotmail.com;8410
5;OWNER;Caden;Bode;Arvel_Feeney37@yahoo.com;86313
6;DISPATCHER;Winston;McLaughlin;Felicia.Hirthe48@hotmail.com;77714
7;DISPATCHER;Ervin;Brown;Jeramie40@yahoo.com;46866
8;OWNER;Natalie;Rodriguez;Kristy.Feil37@hotmail.com;47771
9;OWNER;Damon;Kerluke;Prince_Anderson55@hotmail.com;4315
10;OWNER;Thurman;Zemlak;Anya_Fritsch@hotmail.com;96930
