id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lila;Rosenbaum;Jett_Hoeger@yahoo.com;Suriname Unions Jewelery;2019-11-15T00:54:09;10891;38019
2;Callie;Jacobi;Kory.Frami@yahoo.com;unleash Slovenia;2019-11-14T15:10:03;71812;71549
3;Vergie;Lebsack;Reinhold.Dietrich@gmail.com;deposit Principal Profound;2019-11-14T10:50:37;38007;6026
4;Clifton;Watsica;Felipe16@yahoo.com;Money Market Account Fiji;2019-11-14T17:00:37;30728;92960
5;Providenci;Lemke;Kris61@yahoo.com;interface zero administration networks;2019-11-15T06:10:01;52248;18114
6;Brad;Parisian;Cheyanne.Schmidt@hotmail.com;attitude-oriented multi-byte white;2019-11-14T11:03:59;96292;42452
7;Jayne;Bogisich;Raven.Lowe@hotmail.com;deposit Solutions;2019-11-14T18:39:14;63798;81918
8;Jordon;Torp;Danny64@yahoo.com;Shirt next-generation;2019-11-14T11:21:04;90002;76994
9;Fernando;Luettgen;Deron27@gmail.com;transmitting bandwidth Trinidad and Tobago Dollar;2019-11-15T06:47:58;76665;62385
10;Cameron;Klein;Kyleigh23@yahoo.com;SCSI Field Bermuda;2019-11-15T04:48:35;2363;31227
